percentTest,n,hidden,tr,te
0.10,16,10,92.35,93.00
0.30,16,10,90.00,85.00
0.50,16,10,90.00,85.21
0.70,16,10,72.50,62.50
0.10,16,30,95.00,94.00
0.30,16,30,93.46,91.07
0.50,16,30,84.50,82.50
0.70,16,30,75.83,69.56
0.10,16,50,96.76,96.00
0.30,16,50,96.92,91.43
0.50,16,50,79.00,83.13
0.70,16,50,69.17,68.82
0.10,16,70,93.24,95.00
0.30,16,70,93.46,90.71
0.50,16,70,87.50,89.58
0.70,16,70,71.67,67.79
0.10,16,100,95.29,96.00
0.30,16,100,96.92,92.86
0.50,16,100,83.50,82.08
0.70,16,100,72.50,71.76
0.10,32,10,91.18,91.00
0.30,32,10,91.15,89.64
0.50,32,10,84.00,80.21
0.70,32,10,61.67,64.71
0.10,32,30,95.88,91.00
0.30,32,30,93.46,89.64
0.50,32,30,88.50,85.83
0.70,32,30,78.33,73.09
0.10,32,50,93.82,92.00
0.30,32,50,90.77,87.14
0.50,32,50,84.50,86.46
0.70,32,50,73.33,69.12
0.10,32,70,92.35,98.00
0.30,32,70,91.15,88.93
0.50,32,70,82.50,85.21
0.70,32,70,67.50,67.21
0.10,32,100,93.82,94.00
0.30,32,100,89.23,90.00
0.50,32,100,87.50,86.67
0.70,32,100,72.50,68.38
0.10,64,10,92.65,90.00
0.30,64,10,80.38,76.79
0.50,64,10,83.00,81.04
0.70,64,10,68.33,60.00
0.10,64,30,91.18,96.00
0.30,64,30,88.46,89.64
0.50,64,30,88.00,80.21
0.70,64,30,70.00,72.65
0.10,64,50,92.06,88.00
0.30,64,50,90.38,92.50
0.50,64,50,84.50,86.67
0.70,64,50,70.83,70.59
0.10,64,70,92.35,88.00
0.30,64,70,92.69,91.43
0.50,64,70,87.00,85.63
0.70,64,70,77.50,75.15
0.10,64,100,94.41,91.00
0.30,64,100,90.38,91.43
0.50,64,100,82.50,85.00
0.70,64,100,69.17,63.82
0.10,128,10,87.94,89.00
0.30,128,10,88.85,86.07
0.50,128,10,80.00,77.50
0.70,128,10,63.33,62.65
0.10,128,30,87.94,93.00
0.30,128,30,91.54,86.43
0.50,128,30,83.00,87.92
0.70,128,30,75.00,68.38
0.10,128,50,91.76,82.00
0.30,128,50,88.85,88.93
0.50,128,50,87.50,85.83
0.70,128,50,65.83,60.59
0.10,128,70,91.18,89.00
0.30,128,70,87.69,92.86
0.50,128,70,85.00,82.29
0.70,128,70,70.00,66.18
0.10,128,100,89.71,97.00
0.30,128,100,87.31,89.29
0.50,128,100,82.50,82.29
0.70,128,100,67.50,65.15
