percentTest,n,hidden,tr,te
0.10,16,10,91.76,90.28
0.30,16,10,87.29,88.43
0.50,16,10,85.65,84.72
0.70,16,10,67.44,67.20
0.10,16,30,96.65,95.37
0.30,16,30,95.71,95.37
0.50,16,30,94.21,93.98
0.70,16,30,88.37,87.24
0.10,16,50,96.14,96.30
0.30,16,50,94.88,96.14
0.50,16,50,93.06,95.28
0.70,16,50,90.31,89.29
0.10,16,70,97.43,95.83
0.30,16,70,95.71,96.91
0.50,16,70,93.29,94.17
0.70,16,70,86.43,88.82
0.10,16,100,96.53,94.91
0.30,16,100,96.20,96.45
0.50,16,100,92.36,93.33
0.70,16,100,91.86,91.40
0.10,32,10,88.42,87.50
0.30,32,10,81.85,81.17
0.50,32,10,78.01,79.44
0.70,32,10,60.47,57.67
0.10,32,30,96.27,96.30
0.30,32,30,92.90,94.29
0.50,32,30,91.90,90.09
0.70,32,30,75.19,80.03
0.10,32,50,96.40,96.30
0.30,32,50,93.73,94.60
0.50,32,50,95.37,93.15
0.70,32,50,91.09,89.75
0.10,32,70,95.37,95.83
0.30,32,70,94.22,93.67
0.50,32,70,93.52,93.98
0.70,32,70,81.01,87.30
0.10,32,100,94.47,95.83
0.30,32,100,94.22,95.68
0.50,32,100,95.60,95.37
0.70,32,100,84.88,83.13
0.10,64,10,65.89,67.13
0.30,64,10,68.98,66.36
0.50,64,10,37.50,39.72
0.70,64,10,29.84,29.17
0.10,64,30,94.08,94.91
0.30,64,30,91.91,90.43
0.50,64,30,86.81,84.72
0.70,64,30,83.72,81.35
0.10,64,50,94.98,94.91
0.30,64,50,94.55,93.52
0.50,64,50,93.06,91.67
0.70,64,50,86.43,86.51
0.10,64,70,94.34,92.13
0.30,64,70,95.87,95.83
0.50,64,70,92.59,91.02
0.70,64,70,86.05,85.98
0.10,64,100,91.76,91.20
0.30,64,100,96.37,94.44
0.50,64,100,90.51,89.07
0.70,64,100,88.37,87.04
0.10,128,10,45.05,43.98
0.30,128,10,38.94,40.43
0.50,128,10,39.12,36.39
0.70,128,10,25.19,22.42
0.10,128,30,88.16,92.59
0.30,128,30,87.13,86.42
0.50,128,30,83.80,83.80
0.70,128,30,66.67,62.43
0.10,128,50,92.41,91.20
0.30,128,50,92.74,92.59
0.50,128,50,61.57,64.44
0.70,128,50,64.34,63.03
0.10,128,70,94.21,90.74
0.30,128,70,92.90,91.98
0.50,128,70,86.81,85.00
0.70,128,70,73.64,71.30
0.10,128,100,94.72,96.76
0.30,128,100,90.92,90.43
0.50,128,100,84.95,87.78
0.70,128,100,76.74,76.39
