percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,spread,groupSize,Tr,Tr(sd),Te,Te(sd)
0.1,False,16,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,72.22,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,72.22,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,63.06,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,60.12,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,46.73,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,70.83,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,68.52,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,68.61,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,63.89,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,58.17,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,72.22,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,75.93,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,67.50,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,63.10,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,56.05,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,73.61,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,69.44,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,70.28,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,59.52,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,58.99,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,69.44,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,70.83,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,66.94,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,62.50,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,50.00,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,72.22,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,69.91,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,68.61,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,68.45,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,50.49,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,66.67,0.00
0.3,False,16,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,71.30,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,68.33,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,62.30,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,51.31,0.00
0.1,False,32,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,73.61,0.00
0.3,False,32,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,74.54,0.00
0.5,False,32,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,63.61,0.00
0.7,False,32,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,61.71,0.00
0.85,False,32,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,49.35,0.00
0.1,False,32,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,73.61,0.00
0.3,False,32,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,69.91,0.00
0.5,False,32,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,69.72,0.00
0.7,False,32,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,62.90,0.00
0.85,False,32,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,58.01,0.00
0.1,False,32,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,76.39,0.00
0.3,False,32,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,75.00,0.00
