percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.1,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,97.33,0.01,93.52,5.36
0.3,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,97.69,0.08,90.90,1.74
0.5,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,96.57,0.01,88.98,0.78
0.7,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,89.66,2.88,75.20,1.75
0.85,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,55.56,0.86,28.54,4.15
0.1,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,96.76,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,95.22,1.24
0.5,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,94.07,0.21
0.7,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,92.46,0.37
0.85,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,85.08,0.08
0.1,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,95.37,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,95.68,0.17
0.5,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,94.63,0.32
0.7,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,92.66,1.04
0.85,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,86.82,0.39
0.1,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.67,1.93
0.3,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,95.22,0.38
0.5,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,92.78,0.33
0.7,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.14,0.33
0.85,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,86.22,0.15
0.1,False,16,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,92.34,0.10,85.19,7.93
0.3,False,16,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,86.18,0.58,79.78,0.88
0.5,False,16,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,68.06,7.74,57.87,0.27
0.7,False,16,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,36.73,6.17,24.27,0.65
0.85,False,16,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,4.63,0.86,0.33,0.03
0.1,False,16,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,99.74,0.00,93.98,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,99.74,0.00,92.90,2.45
0.5,False,16,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,99.72,0.03,93.89,0.10
0.7,False,16,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,100.00,0.00,91.40,0.11
0.85,False,16,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,99.07,0.29,81.86,0.12
0.1,False,16,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,95.37,1.50
0.3,False,16,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,94.14,1.45
0.5,False,16,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,93.15,0.45
0.7,False,16,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,93.52,0.16
0.85,False,16,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,86.11,0.83
0.1,False,16,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,97.22,1.93
0.3,False,16,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,95.99,0.17
0.5,False,16,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,94.91,0.14
0.7,False,16,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,92.46,0.41
0.85,False,16,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,87.04,0.13
0.1,False,16,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,53.29,0.10,49.07,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,35.85,0.16,32.41,0.21
0.5,False,16,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,15.00,2.85,9.35,0.32
0.7,False,16,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,0.62,0.38,0.07,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,0.00,0.00,0.00,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,98.87,0.02,94.44,2.57
0.3,False,16,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,98.21,0.05,93.83,0.31
0.5,False,16,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,97.50,0.03,91.76,0.32
0.7,False,16,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,94.44,0.64,83.33,0.96
0.85,False,16,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,76.85,12.29,48.86,1.08
0.1,False,16,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,99.85,0.00,93.52,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,99.87,0.00,95.22,0.74
0.5,False,16,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,100.00,0.00,93.80,0.24
0.7,False,16,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,99.85,0.02,91.40,0.14
0.85,False,16,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,99.69,0.10,82.73,0.27
0.1,False,16,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,94.91,2.79
0.3,False,16,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,94.91,1.50
0.5,False,16,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,93.70,0.32
0.7,False,16,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,92.79,0.06
0.85,False,16,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,85.78,5.15
0.1,False,16,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,6.94,0.02,3.70,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,0.07,0.00,0.00,0.00
0.5,False,16,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.7,False,16,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.85,False,16,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.1,False,16,True,2,False,letters_numbers_numbers2,50,0.01,256,10000,95.06,0.06,89.81,13.07
0.3,False,16,True,2,False,letters_numbers_numbers2,50,0.01,256,10000,93.52,0.03,86.88,0.45
0.5,False,16,True,2,False,letters_numbers_numbers2,50,0.01,256,10000,83.52,0.06,72.59,0.16
0.7,False,16,True,2,False,letters_numbers_numbers2,50,0.01,256,10000,56.17,4.31,42.53,0.79
0.85,False,16,True,2,False,letters_numbers_numbers2,50,0.01,256,10000,14.20,4.10,3.92,0.65
0.1,False,16,True,2,False,letters_numbers_numbers2,100,0.01,256,10000,98.35,0.01,94.44,4.50
0.3,False,16,True,2,False,letters_numbers_numbers2,100,0.01,256,10000,98.35,0.14,93.06,0.50
0.5,False,16,True,2,False,letters_numbers_numbers2,100,0.01,256,10000,97.41,0.14,92.22,1.47
0.7,False,16,True,2,False,letters_numbers_numbers2,100,0.01,256,10000,96.14,0.74,84.26,0.58
0.85,False,16,True,2,False,letters_numbers_numbers2,100,0.01,256,10000,77.16,4.95,49.35,0.81
0.1,False,16,True,2,False,letters_numbers_numbers2,200,0.01,256,10000,99.85,0.00,96.30,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,200,0.01,256,10000,100.00,0.00,95.37,0.50
0.5,False,16,True,2,False,letters_numbers_numbers2,200,0.01,256,10000,99.81,0.01,93.70,0.06
0.7,False,16,True,2,False,letters_numbers_numbers2,200,0.01,256,10000,100.00,0.00,90.81,1.50
0.85,False,16,True,2,False,letters_numbers_numbers2,200,0.01,256,10000,100.00,0.00,81.32,3.44
0.1,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.28,0.00,95.83,4.50
0.3,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.47,0.00,93.98,1.50
0.5,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.54,0.03,92.96,0.03
0.7,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.38,0.02,90.67,1.27
0.85,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,94.44,8.00,64.49,2.15
0.1,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,97.22,0.64
0.3,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,95.52,1.60
0.5,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,94.54,0.11
0.7,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,93.32,0.69
0.85,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,87.15,0.08
0.1,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,95.37,0.86
0.3,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,95.99,0.17
0.5,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,95.00,0.03
0.7,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.52,0.40
0.85,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,88.07,1.18
0.1,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,93.52,2.79
0.3,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,95.52,0.45
0.5,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,93.33,0.10
0.7,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.87,0.12
0.85,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,87.36,0.20
0.1,False,32,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,97.38,0.07,93.06,0.64
0.3,False,32,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,96.23,0.28,93.21,1.74
0.5,False,32,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,94.72,0.49,88.06,1.00
0.7,False,32,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,81.48,3.72,62.43,0.58
0.85,False,32,True,2,False,letters_numbers_numbers2,10,0.01,64,10000,35.80,11.53,14.00,0.02
0.1,False,32,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,100.00,0.00,94.91,0.21
0.3,False,32,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,100.00,0.00,95.06,1.60
0.5,False,32,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,100.00,0.00,94.72,0.18
0.7,False,32,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,100.00,0.00,92.13,0.40
0.85,False,32,True,2,False,letters_numbers_numbers2,50,0.01,64,10000,100.00,0.00,87.25,0.08
0.1,False,32,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,96.30,0.21
0.3,False,32,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,94.91,1.36
0.5,False,32,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,93.89,0.18
0.7,False,32,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,94.58,0.27
0.85,False,32,True,2,False,letters_numbers_numbers2,100,0.01,64,10000,100.00,0.00,87.42,0.70
0.1,False,32,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,97.69,0.86
0.3,False,32,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,95.99,0.10
0.5,False,32,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,95.19,0.27
0.7,False,32,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,93.25,0.04
0.85,False,32,True,2,False,letters_numbers_numbers2,200,0.01,64,10000,100.00,0.00,88.29,0.06
0.1,False,32,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,88.27,0.06,84.26,5.36
0.3,False,32,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,76.26,0.45,66.98,0.74
0.5,False,32,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,51.94,0.49,43.61,0.64
0.7,False,32,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,21.14,1.88,10.98,0.29
0.85,False,32,True,2,False,letters_numbers_numbers2,10,0.01,128,10000,0.00,0.00,0.00,0.00
0.1,False,32,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,99.74,0.00,95.83,2.57
0.3,False,32,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,99.74,0.00,95.83,1.14
0.5,False,32,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,99.81,0.01,93.70,0.01
0.7,False,32,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,100.00,0.00,92.33,0.65
0.85,False,32,True,2,False,letters_numbers_numbers2,50,0.01,128,10000,97.84,0.67,78.21,2.76
0.1,False,32,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,100.00,0.00,96.30,0.86
0.3,False,32,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,100.00,0.00,96.14,0.31
0.5,False,32,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,100.00,0.00,94.26,0.06
0.7,False,32,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,100.00,0.00,92.59,0.08
0.85,False,32,True,2,False,letters_numbers_numbers2,100,0.01,128,10000,100.00,0.00,87.64,0.04
0.1,False,32,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,96.30,2.79
0.3,False,32,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,95.22,1.17
0.5,False,32,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,94.54,0.27
0.7,False,32,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,93.65,0.35
0.85,False,32,True,2,False,letters_numbers_numbers2,200,0.01,128,10000,100.00,0.00,88.07,1.68
0.1,False,32,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,37.55,0.03,31.94,0.64
0.3,False,32,True,2,False,letters_numbers_numbers2,10,0.01,256,10000,21.76,0.12,17.28,0.88
