percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.1,False,16,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,16,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,94.44,7.72
0.5,False,16,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,88.89,13.50
0.7,False,16,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,90.00,11.11
0.85,False,16,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,86.11,2.57
0.1,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,7.72
0.5,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,87.04,0.86
0.1,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,94.44,7.72
0.5,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.50,5.79
0.7,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.96,0.86
0.1,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,83.33,23.15
0.5,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,90.28,1.93
0.7,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,84.26,0.86
0.1,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,90.28,1.93
0.7,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,88.89,4.94
0.85,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,86.11,2.57
0.1,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,7.72
0.5,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,90.28,1.93
0.7,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,87.04,0.86
0.1,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,94.44,7.72
0.5,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.96,0.86
0.1,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.11,7.72
0.5,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,0.00
0.7,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,85.19,3.43
0.1,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,90.28,1.93
0.7,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,86.11,0.00
0.1,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,7.72
0.5,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,90.28,1.93
0.7,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,87.04,0.86
0.1,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.96,0.86
0.1,False,64,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,64,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.11,7.72
