percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.1,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.64,0.00,93.52,5.36
0.3,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.60,0.04,90.74,2.64
0.5,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.54,0.01,92.04,1.45
0.7,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.54,0.00,88.03,0.29
0.85,False,16,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,82.95,0.19
0.1,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,92.13,0.21
0.3,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,93.06,0.93
0.5,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,90.93,0.65
0.7,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,89.48,0.09
0.85,False,16,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,83.28,1.22
0.1,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,92.59,3.43
0.3,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,92.59,1.50
0.5,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,92.78,0.64
0.7,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,89.75,0.75
0.85,False,16,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,83.71,2.96
0.1,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,88.89,0.64
0.3,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.51,0.60
0.5,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,90.74,0.42
0.7,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,87.63,2.79
0.85,False,16,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,83.99,0.17
0.1,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,99.90,0.00,95.37,1.50
0.3,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,92.28,1.52
0.5,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,92.50,2.16
0.7,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,91.27,0.51
0.85,False,32,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,85.73,0.13
0.1,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,94.91,1.50
0.3,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,93.83,0.74
0.5,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,93.52,0.27
0.7,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,90.67,0.47
0.85,False,32,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,86.60,0.81
0.1,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.06,1.93
0.3,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.21,0.60
0.5,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.24,0.42
0.7,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,92.46,1.19
0.85,False,32,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,86.49,0.63
0.1,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.67,1.93
0.3,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,93.67,1.81
0.5,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,92.04,0.68
0.7,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,89.42,2.22
0.85,False,32,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,86.71,1.64
0.1,False,64,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,94.44,1.93
0.3,False,64,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,93.36,3.31
0.5,False,64,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,92.69,1.86
0.7,False,64,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,91.73,0.03
0.85,False,64,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,86.38,0.39
0.1,False,64,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,96.76,1.50
0.3,False,64,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,94.14,1.60
0.5,False,64,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,93.61,0.03
0.7,False,64,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,90.87,0.01
0.85,False,64,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,87.20,1.07
0.1,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.52,2.79
0.3,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.36,2.38
0.5,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.89,0.10
0.7,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.12,0.98
0.85,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,87.09,0.22
0.1,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.20,0.86
0.3,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,94.60,1.02
0.5,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,92.87,0.37
